x_value: 1.0*2^-127, y_value: 1.2324277*2^4



x_value: 1.0*2^0, y_value: 1.8883974*2^3



x_value: 1.0*2^1, y_value: 1.749252*2^3



x_value: 1.4999999*2^1, y_value: 1.2125496*2^4



x_value: 1.0*2^2, y_value: 1.1330384*2^4



x_value: 1.2499999*2^2, y_value: 1.9281529*2^3



x_value: 1.4999999*2^2, y_value: 1.2423664*2^4



x_value: 1.7499998*2^2, y_value: 1.2224887*2^4



x_value: 1.0*2^3, y_value: 1.0336492*2^4



x_value: 1.1249999*2^3, y_value: 1.2721833*2^4



x_value: 1.2499999*2^3, y_value: 1.3616339*2^4



x_value: 1.3749998*2^3, y_value: 1.1429774*2^4



x_value: 1.4999999*2^3, y_value: 1.2125496*2^4



x_value: 1.6249998*2^3, y_value: 1.4709622*2^4



x_value: 1.7499998*2^3, y_value: 1.2224887*2^4



x_value: 1.8749997*2^3, y_value: 1.1529161*2^4



x_value: 1.0*2^4, y_value: 1.4312062*2^4



x_value: 1.0624999*2^4, y_value: 1.2523058*2^4



x_value: 1.1249999*2^4, y_value: 1.1131602*2^4



x_value: 1.1874998*2^4, y_value: 1.3715726*2^4



x_value: 1.2499999*2^4, y_value: 1.2224887*2^4



x_value: 1.3124998*2^4, y_value: 1.0535267*2^4



x_value: 1.3749998*2^4, y_value: 1.3218781*2^4



x_value: 1.4374997*2^4, y_value: 1.3020001*2^4



x_value: 1.4999999*2^4, y_value: 1.1628552*2^4



x_value: 1.5624998*2^4, y_value: 1.3318171*2^4



x_value: 1.6249998*2^4, y_value: 1.3914507*2^4



x_value: 1.6874997*2^4, y_value: 1.1926719*2^4



x_value: 1.7499998*2^4, y_value: 1.3119389*2^4



x_value: 1.8124997*2^4, y_value: 1.6399241*2^4



x_value: 1.8749997*2^4, y_value: 1.3516949*2^4



x_value: 1.9374996*2^4, y_value: 1.3318171*2^4



x_value: 1.0*2^5, y_value: 1.5305957*2^4



x_value: 1.0312499*2^5, y_value: 1.4908397*2^4



x_value: 1.0624999*2^5, y_value: 1.4212673*2^4



x_value: 1.0937498*2^5, y_value: 1.3815117*2^4



x_value: 1.1249999*2^5, y_value: 1.4312062*2^4



x_value: 1.1562498*2^5, y_value: 1.4113284*2^4



x_value: 1.1874998*2^5, y_value: 1.3914507*2^4



x_value: 1.2187497*2^5, y_value: 1.3815117*2^4



x_value: 1.2499999*2^5, y_value: 1.3914507*2^4



x_value: 1.2812498*2^5, y_value: 1.4212673*2^4



x_value: 1.3124998*2^5, y_value: 1.3815117*2^4



x_value: 1.3437497*2^5, y_value: 1.4212673*2^4



x_value: 1.3749998*2^5, y_value: 1.4411452*2^4



x_value: 1.4062497*2^5, y_value: 1.4113284*2^4



x_value: 1.4374997*2^5, y_value: 1.4312062*2^4



x_value: 1.4687496*2^5, y_value: 1.451084*2^4



x_value: 1.4999999*2^5, y_value: 1.3020001*2^4



